"UTC","AQI"
"2022-03-26 00:00:00",30
"2022-03-27 00:00:00",25
"2022-03-28 00:00:00",27
"2022-03-29 00:00:00",30
"2022-03-30 00:00:00",35
"2022-03-31 00:00:00",44
"2022-04-01 00:00:00",31
"2022-04-02 00:00:00",37
"2022-04-03 00:00:00",40
"2022-04-04 00:00:00",37
"2022-04-05 00:00:00",37
"2022-04-06 00:00:00",32
"2022-04-07 00:00:00",38
"2022-04-08 00:00:00",34
"2022-04-09 00:00:00",39
"2022-04-10 00:00:00",30
"2022-04-11 00:00:00",36
"2022-04-12 00:00:00",36
"2022-04-13 00:00:00",46
"2022-04-14 00:00:00",34
"2022-04-15 00:00:00",46
"2022-04-16 00:00:00",47
"2022-04-17 00:00:00",26
"2022-04-18 00:00:00",30
"2022-04-19 00:00:00",22
"2022-04-20 00:00:00",36
"2022-04-21 00:00:00",47
"2022-04-22 00:00:00",44
"2022-04-23 00:00:00",46
"2022-04-24 00:00:00",44